Taxpayer_ID,Business_Name,Tax_Year,Tax_Type,Industry,City,Reported_Revenue,Reported_Deductions,Taxable_Income,Tax_Paid,Expected_Tax,Estimated_Tax_Gap,Number_of_Employees,Filing_Status,Previously_Audited,Prior_Audit_Result,Industry_Avg_Revenue,Revenue_Ratio,Compliance_Flag
MA-010049,Metro Healthcare Corp,2025,Income,Professional Services,Chelsea,557316.97,200721.2,356595.77,22592.09,26704.15,4112.06,8,Late,No,N/A,500000,1.1146,Compliant
MA-010050,Valley Auto Repair Solutions,2025,Corporate,Construction,Boston,565566.39,180000.57,385565.82,46217.24,72474.69,26257.45,8,Late,No,N/A,800000,0.707,Underpaid
MA-010051,Patriot Manufacturing Inc,2024,Corporate,Real Estate,Springfield,257192.37,92073.32,165119.05,15307.42,26043.07,10735.65,2,Late,No,N/A,700000,0.3674,Underpaid
MA-010052,Metro Retail Services,2024,Special Fuels,Healthcare,Boston,1084702.69,265873.89,818828.8,196518.91,199038.6,2519.69,9,On Time,No,N/A,1200000,0.9039,Compliant
MA-010053,Atlantic Auto Repair Co,2025,Income,Manufacturing,Worcester,0.0,0.0,0.0,0.0,79109.33,79109.33,19,Not Filed,No,N/A,1500000,0.0,Non-Filer
MA-010054,Harbor Auto Repair LLC,2025,Income,Retail,Springfield,1019553.89,365868.33,653685.56,38965.61,42341.49,3375.88,13,On Time,No,N/A,600000,1.6993,Compliant
MA-010055,Pilgrim Real Estate Group,2023,Corporate,Retail,Lowell,649712.16,230230.44,419481.72,25010.63,25524.76,514.13,7,On Time,No,N/A,600000,1.0829,Compliant
MA-010056,Atlantic Healthcare Enterprise,2025,Rooms Occupancy,Restaurant,Lowell,103177.37,24311.13,78866.24,4534.81,7816.41,3281.6,1,On Time,No,N/A,450000,0.2293,Underpaid
MA-010057,Summit Auto Repair Inc,2022,Sales/Use,Professional Services,Boston,424088.7,68236.7,355852.0,22240.75,21798.86,0.0,18,On Time,No,N/A,500000,0.8482,Underpaid
MA-010058,Metro Professional Services LLC,2024,Rooms Occupancy,Restaurant,New Bedford,404607.49,180009.13,224598.36,12914.41,19205.32,6290.92,6,On Time,No,N/A,450000,0.8991,Compliant
MA-010059,Colonial Professional Services Inc,2025,Rooms Occupancy,Healthcare,Cambridge,1146083.22,329698.74,816384.48,46942.11,54462.21,7520.1,8,On Time,No,N/A,1200000,0.9551,Compliant
MA-010060,Summit Auto Repair Inc,2023,Sales/Use,Professional Services,Fall River,699038.49,194550.08,504488.4,31530.53,34597.99,3067.46,12,On Time,No,N/A,500000,1.3981,Compliant
MA-010061,Pioneer Healthcare Holdings,2023,Corporate,Restaurant,Somerville,583084.79,254347.67,328737.11,23385.11,28535.75,5150.64,2,On Time,Yes,Compliant,450000,1.2957,Compliant
MA-010062,Beacon Hospitality Holdings,2024,Income,Professional Services,Boston,782235.75,282439.6,499796.15,35869.6,44636.85,8767.25,2,On Time,No,N/A,500000,1.5645,Compliant
MA-010063,Atlantic Healthcare Enterprise,2023,Income,Retail,Chelsea,524916.22,144222.67,380693.56,33670.98,47956.88,14285.9,19,On Time,No,N/A,600000,0.8749,Underpaid
MA-010064,Liberty Auto Repair Solutions,2022,Income,Professional Services,Boston,184474.68,58893.65,125581.02,6821.95,12940.4,6118.45,1,On Time,No,N/A,500000,0.3689,Underpaid
MA-010065,Northern Restaurant Holdings,2025,Corporate,Healthcare,Boston,863746.85,362485.88,501260.97,40694.26,84438.07,43743.8,12,On Time,Yes,Underpaid,1200000,0.7198,Underpaid
MA-010066,Coastal Professional Services Solutions,2024,Sales/Use,Healthcare,Chelsea,550922.71,118652.44,432270.27,27016.89,30269.18,3252.29,7,On Time,No,N/A,1200000,0.4591,Compliant
MA-010067,Metro Retail Group,2022,Income,Professional Services,Cambridge,317090.79,120414.69,196676.1,23302.84,26372.0,3069.16,6,On Time,No,N/A,500000,0.6342,Compliant
MA-010068,Atlantic Healthcare Co,2025,Meals,Real Estate,Springfield,0.0,0.0,0.0,0.0,27098.22,27098.22,13,Not Filed,No,N/A,700000,0.0,Non-Filer
MA-010069,Pilgrim Retail Services,2023,Corporate,Restaurant,Somerville,258313.22,114574.11,143739.12,11845.58,19351.06,7505.48,2,Not Filed,No,N/A,450000,0.574,Underpaid
MA-010070,Colonial Hospitality Co,2023,Corporate,Retail,Boston,365828.4,58410.06,307418.34,29577.9,53350.3,23772.4,3,On Time,No,N/A,600000,0.6097,Suspicious
MA-010071,Valley Auto Repair Associates,2022,Income,Hospitality,Boston,213021.96,79278.75,133743.21,10453.18,23683.45,13230.27,11,On Time,No,N/A,350000,0.6086,Underpaid
MA-010072,Coastal Auto Repair Group,2024,Corporate,Hospitality,Boston,101436.23,33410.59,68025.64,6603.74,11985.28,5381.54,2,Late,No,N/A,350000,0.2898,Underpaid
MA-010073,Eastern Real Estate Associates,2024,Income,Restaurant,Lowell,251294.99,106416.72,144878.27,13592.41,35075.02,21482.61,10,On Time,No,N/A,450000,0.5584,Suspicious
MA-010074,Coastal Construction Services,2024,Sales/Use,Real Estate,Lynn,385934.85,145236.87,240697.98,15043.62,18446.33,3402.71,1,On Time,No,N/A,700000,0.5513,Compliant
MA-010075,Beacon Hospitality Solutions,2022,Meals,Retail,New Bedford,706500.9,188300.66,518200.24,36274.02,39396.48,3122.46,10,On Time,No,N/A,600000,1.1775,Compliant
MA-010076,Pilgrim Real Estate Group,2023,Corporate,Restaurant,Springfield,356356.38,146849.52,209506.86,13234.85,21488.47,8253.62,7,On Time,No,N/A,450000,0.7919,Underpaid
MA-010077,Northern Professional Services LLC,2024,Meals,Healthcare,Cambridge,968558.11,424832.12,543725.98,38060.82,53691.26,15630.44,12,Not Filed,No,N/A,1200000,0.8071,Compliant
MA-010078,Coastal Construction Solutions,2023,Sales/Use,Construction,Boston,912385.22,241050.83,671334.39,41958.4,41247.85,0.0,7,Amended,No,N/A,800000,1.1405,Compliant
MA-010079,Harbor Retail Group,2022,Corporate,Retail,Cambridge,802170.76,209536.21,592634.55,46803.38,56680.2,9876.82,14,On Time,No,N/A,600000,1.337,Underpaid
MA-010080,Liberty Manufacturing Partners,2025,Rooms Occupancy,Restaurant,Worcester,268044.47,107220.15,160824.32,9247.4,11702.18,2454.79,6,On Time,No,N/A,450000,0.5957,Compliant
MA-010081,Metro Retail LLC,2025,Meals,Professional Services,Worcester,194987.44,71383.74,123603.7,8652.26,17092.35,8440.09,7,On Time,No,N/A,500000,0.39,Underpaid
MA-010082,Liberty Restaurant Solutions,2022,Income,Healthcare,Lowell,1296320.16,354825.73,941494.43,102602.3,145695.86,43093.55,16,Not Filed,No,N/A,1200000,1.0803,Underpaid
MA-010083,Commonwealth Healthcare Group,2025,Corporate,Restaurant,Cambridge,597576.66,91761.06,505815.6,44035.92,41149.72,0.0,9,On Time,No,N/A,450000,1.3279,Compliant
MA-010084,Bay State Professional Services Partners,2023,Sales/Use,Restaurant,Brockton,558458.53,187605.35,370853.18,23178.32,28648.12,5469.8,16,Amended,No,N/A,450000,1.241,Compliant
MA-010085,Beacon Real Estate Ventures,2025,Special Fuels,Manufacturing,Boston,881465.32,351192.2,530273.12,127265.55,275640.77,148375.22,13,On Time,No,N/A,1500000,0.5876,Underpaid
MA-010086,Bay State Real Estate Services,2025,Corporate,Professional Services,Boston,346781.85,60619.49,286162.36,31241.23,26754.52,0.0,1,On Time,No,N/A,500000,0.6936,Compliant
MA-010087,Southern Professional Services LLC,2022,Rooms Occupancy,Real Estate,Somerville,351435.15,102847.53,248587.62,14293.79,32905.91,18612.12,10,On Time,Yes,Compliant,700000,0.5021,Suspicious
MA-010088,Bay State Professional Services Enterprise,2024,Income,Hospitality,Chelsea,392869.36,142931.15,249938.21,19465.37,24908.27,5442.91,8,Not Filed,No,N/A,350000,1.1225,Compliant
MA-010089,Central Restaurant Holdings,2024,Corporate,Retail,Brockton,632036.08,232114.66,399921.42,34015.52,33578.62,0.0,14,Late,Yes,Compliant,600000,1.0534,Compliant
MA-010090,Federal Real Estate Holdings,2025,Meals,Hospitality,Worcester,327264.85,93324.5,233940.35,16375.82,17918.91,1543.08,17,On Time,No,N/A,350000,0.935,Compliant
MA-010091,Metro Professional Services Associates,2025,Sales/Use,Retail,Boston,706747.69,121597.36,585150.34,36571.9,36093.77,0.0,4,Late,No,N/A,600000,1.1779,Compliant
MA-010092,Bay State Professional Services Partners,2024,Corporate,Manufacturing,Boston,369829.93,139945.11,229884.83,13139.34,45898.15,32758.81,14,On Time,No,N/A,1500000,0.2466,Suspicious
MA-010093,Cape Real Estate Ventures,2022,Income,Healthcare,Cambridge,1142205.07,467293.75,674911.33,34328.58,43341.38,9012.8,17,On Time,No,N/A,1200000,0.9518,Compliant
MA-010094,Northern Hospitality Holdings,2023,Special Fuels,Professional Services,Chelsea,351607.38,81107.27,270500.1,64920.02,111838.07,46918.04,6,On Time,Yes,Underpaid,500000,0.7032,Underpaid
MA-010095,Patriot Hospitality Ventures,2024,Meals,Retail,Worcester,300906.59,100803.9,200102.69,14007.19,22862.72,8855.53,1,Not Filed,Yes,Underpaid,600000,0.5015,Underpaid
MA-010096,Atlantic Retail Co,2024,Corporate,Construction,Brockton,538066.56,237969.41,300097.15,17864.4,31158.71,13294.31,12,On Time,No,N/A,800000,0.6726,Underpaid
MA-010097,Commonwealth Professional Services Partners,2024,Special Fuels,Retail,Worcester,672887.44,258787.33,414100.1,99384.02,121079.71,21695.68,1,Late,No,N/A,600000,1.1215,Compliant
MA-010098,Patriot Retail Co,2023,Rooms Occupancy,Manufacturing,Worcester,1629050.46,257511.88,1371538.59,78863.47,64276.03,0.0,21,Not Filed,No,N/A,1500000,1.086,Compliant
MA-010099,Pilgrim Healthcare Holdings,2022,Meals,Retail,Fall River,414883.83,93682.64,321201.19,22484.08,24268.77,1784.68,6,On Time,No,N/A,600000,0.6915,Compliant
MA-010100,Valley Auto Repair Inc,2025,Sales/Use,Retail,Springfield,279833.84,87614.17,192219.67,12013.73,26447.99,14434.26,1,On Time,No,N/A,600000,0.4664,Suspicious
MA-010101,Coastal Construction Group,2022,Sales/Use,Hospitality,Cambridge,257962.53,88764.89,169197.63,10574.85,20657.07,10082.22,7,Late,No,N/A,350000,0.737,Underpaid
MA-010102,Bay State Professional Services Partners,2025,Meals,Professional Services,Springfield,695691.17,212630.58,483060.59,33814.24,35701.45,1887.21,13,On Time,No,N/A,500000,1.3914,Compliant
MA-010103,Pilgrim Auto Repair Corp,2023,Meals,Construction,Springfield,378788.57,161426.15,217362.42,15215.37,22543.8,7328.43,1,Not Filed,No,N/A,800000,0.4735,Compliant
MA-010104,Commonwealth Healthcare Services,2023,Corporate,Professional Services,Worcester,589041.4,211482.93,377558.47,27306.41,33862.42,6556.01,9,On Time,No,N/A,500000,1.1781,Compliant
MA-010105,Coastal Retail Co,2023,Sales/Use,Restaurant,Brockton,509337.57,161946.27,347391.3,21711.96,21693.58,0.0,25,On Time,No,N/A,450000,1.1319,Compliant
MA-010106,Atlantic Auto Repair Co,2025,Sales/Use,Construction,Boston,941869.27,308613.78,633255.49,39578.47,46877.77,7299.31,17,On Time,No,N/A,800000,1.1773,Compliant
MA-010107,Harbor Restaurant Group,2022,Meals,Retail,Fall River,242054.46,59980.0,182074.46,12745.21,41986.99,29241.77,13,On Time,No,N/A,600000,0.4034,Suspicious
MA-010108,Federal Hospitality Corp,2025,Sales/Use,Hospitality,Cambridge,307547.14,88376.18,219170.95,13698.18,15910.69,2212.51,7,On Time,No,N/A,350000,0.8787,Compliant
MA-010109,Pioneer Real Estate Enterprise,2023,Sales/Use,Manufacturing,Lynn,1078291.63,386061.79,692229.84,43264.36,52048.73,8784.36,12,On Time,No,N/A,1500000,0.7189,Compliant
MA-010110,Harbor Professional Services Group,2023,Income,Restaurant,Springfield,365392.97,147105.59,218287.38,20379.03,23836.52,3457.5,5,On Time,No,N/A,450000,0.812,Compliant
MA-010111,Pilgrim Healthcare Holdings,2025,Corporate,Construction,Boston,1545190.92,458318.85,1086872.07,60633.27,70348.13,9714.86,9,On Time,No,N/A,800000,1.9315,Compliant
MA-010112,Eastern Real Estate Group,2023,Corporate,Retail,Worcester,574891.35,181043.55,393847.8,22813.54,35323.94,12510.4,1,On Time,No,N/A,600000,0.9582,Underpaid
MA-010113,Federal Retail Inc,2022,Meals,Manufacturing,Worcester,1325943.39,239631.03,1086312.36,76041.87,60520.7,0.0,21,Late,No,N/A,1500000,0.884,Compliant
MA-010114,Summit Restaurant Inc,2024,Corporate,Retail,Somerville,0.0,0.0,0.0,0.0,28070.01,28070.01,2,Not Filed,No,N/A,600000,0.0,Non-Filer
MA-010115,Coastal Auto Repair Holdings,2023,Sales/Use,Retail,New Bedford,443548.32,74430.67,369117.65,23069.85,22271.13,0.0,9,On Time,No,N/A,600000,0.7392,Compliant
MA-010116,Pioneer Retail Holdings,2024,Sales/Use,Healthcare,Worcester,495366.99,175255.79,320111.21,20006.95,47149.08,27142.13,12,On Time,No,N/A,1200000,0.4128,Suspicious
MA-010117,Colonial Auto Repair LLC,2023,Special Fuels,Manufacturing,Lynn,1554976.83,619727.53,935249.3,224459.83,254989.39,30529.55,15,Amended,No,N/A,1500000,1.0367,Compliant
MA-010118,Atlantic Healthcare Co,2025,Income,Construction,Chelsea,1498042.24,266544.31,1231497.93,106023.28,98696.92,0.0,21,On Time,No,N/A,800000,1.8726,Compliant
MA-010119,Federal Real Estate Holdings,2022,Corporate,Retail,Somerville,204177.07,69512.52,134664.54,13306.23,13099.91,0.0,3,Late,No,N/A,600000,0.3403,Compliant
MA-010120,Harbor Healthcare Corp,2025,Meals,Construction,Somerville,604309.62,114322.25,489987.37,34299.12,28609.29,0.0,11,On Time,No,N/A,800000,0.7554,Compliant
MA-010121,Bay State Professional Services Enterprise,2025,Income,Hospitality,Fall River,97469.18,14640.14,82829.04,9696.15,24155.65,14459.5,2,On Time,No,N/A,350000,0.2785,Suspicious
MA-010122,Pilgrim Manufacturing Enterprise,2024,Income,Restaurant,Lowell,519010.3,218576.04,300434.26,18502.77,24955.61,6452.84,10,On Time,No,N/A,450000,1.1534,Compliant
MA-010123,Cape Restaurant Services,2022,Sales/Use,Professional Services,Boston,286606.64,87653.85,198952.8,12434.55,13504.98,1070.43,1,On Time,Yes,Compliant,500000,0.5732,Compliant
MA-010124,Liberty Construction Corp,2025,Sales/Use,Restaurant,Quincy,390346.57,70637.29,319709.27,19981.83,18381.32,0.0,1,On Time,No,N/A,450000,0.8674,Compliant
MA-010125,Pilgrim Real Estate Solutions,2023,Rooms Occupancy,Construction,Brockton,1349583.5,380622.8,968960.7,55715.24,53939.4,0.0,18,On Time,No,N/A,800000,1.687,Compliant
MA-010126,Summit Restaurant Inc,2023,Sales/Use,Restaurant,Springfield,251036.81,92633.27,158403.54,9900.22,12712.28,2812.06,7,Amended,No,N/A,450000,0.5579,Compliant
MA-010127,Pioneer Retail Services,2023,Sales/Use,Manufacturing,Boston,1627504.29,703706.45,923797.84,57737.37,135198.53,77461.17,37,On Time,No,N/A,1500000,1.085,Underpaid
MA-010128,Patriot Retail Partners,2023,Sales/Use,Hospitality,Boston,172434.26,66927.5,105506.77,6594.17,8406.12,1811.95,1,On Time,No,N/A,350000,0.4927,Compliant
MA-010129,Beacon Real Estate Services,2022,Income,Retail,Lowell,884173.46,283390.07,600783.38,45406.53,46013.38,606.85,7,Not Filed,No,N/A,600000,1.4736,Compliant
MA-010130,Patriot Healthcare LLC,2022,Income,Real Estate,Fall River,775310.87,299880.16,475430.7,40631.61,50197.66,9566.05,14,On Time,No,N/A,700000,1.1076,Compliant
MA-010131,Federal Retail Enterprise,2023,Income,Construction,New Bedford,543889.8,240559.21,303330.6,18465.67,24930.42,6464.74,6,On Time,No,N/A,800000,0.6799,Compliant
MA-010132,Colonial Construction Ventures,2024,Sales/Use,Manufacturing,Lowell,0.0,0.0,0.0,0.0,2503.45,2503.45,1,Not Filed,No,N/A,1500000,0.0,Non-Filer
MA-010133,Eastern Construction Ventures,2023,Income,Restaurant,Chelsea,391976.81,117171.23,274805.58,20409.63,22850.2,2440.56,1,On Time,No,N/A,450000,0.8711,Compliant
MA-010134,Atlantic Manufacturing Inc,2024,Sales/Use,Retail,Springfield,517724.66,203016.59,314708.07,19669.25,46069.56,26400.3,4,Amended,Yes,Fraud,600000,0.8629,Underpaid
MA-010135,Beacon Professional Services Co,2024,Corporate,Healthcare,Boston,1010433.67,228898.41,781535.26,44706.43,43065.52,0.0,13,On Time,No,N/A,1200000,0.842,Compliant
MA-010136,Bay State Construction Corp,2022,Income,Retail,Cambridge,925581.48,188530.1,737051.38,86400.07,87769.57,1369.49,3,On Time,No,N/A,600000,1.5426,Compliant
MA-010137,Summit Restaurant LLC,2023,Income,Professional Services,Lowell,732494.71,235468.33,497026.38,29005.5,29613.02,607.53,8,Amended,Yes,Compliant,500000,1.465,Compliant
MA-010138,Coastal Construction Ventures,2025,Corporate,Construction,Boston,484637.23,139102.45,345534.79,26199.95,30347.35,4147.4,8,Late,No,N/A,800000,0.6058,Compliant
MA-010139,Eastern Hospitality Associates,2025,Corporate,Professional Services,Boston,382565.88,148738.58,233827.3,14155.82,21523.94,7368.12,3,Late,Yes,Fraud,500000,0.7651,Underpaid
MA-010140,Cape Restaurant Services,2024,Income,Professional Services,New Bedford,524767.64,127126.64,397641.01,25593.61,21555.22,0.0,4,Late,No,N/A,500000,1.0495,Compliant
MA-010141,Pilgrim Manufacturing Enterprise,2024,Income,Real Estate,Somerville,753545.15,206408.86,547136.29,61657.04,62243.01,585.98,12,On Time,No,N/A,700000,1.0765,Compliant
MA-010142,Liberty Restaurant Solutions,2025,Sales/Use,Healthcare,Cambridge,1864205.55,352730.97,1511474.58,94467.16,90764.7,0.0,16,On Time,No,N/A,1200000,1.5535,Compliant
MA-010143,Federal Healthcare Co,2024,Meals,Auto Repair,Springfield,536071.15,102300.36,433770.79,30363.95,25007.08,0.0,1,On Time,Yes,Compliant,300000,1.7869,Compliant
MA-010144,Metro Retail Services,2024,Income,Construction,Worcester,736735.15,137013.63,599721.52,36602.85,32822.0,0.0,12,On Time,No,N/A,800000,0.9209,Compliant
MA-010145,Metro Healthcare Corp,2024,Meals,Professional Services,Boston,542636.04,164981.92,377654.12,26435.79,27539.63,1103.84,3,On Time,No,N/A,500000,1.0853,Compliant
MA-010146,Harbor Professional Services Group,2025,Corporate,Real Estate,Boston,645509.96,252503.5,393006.46,23496.09,32835.67,9339.57,5,Late,No,N/A,700000,0.9222,Compliant
